job_id,title,company,location,category,score,score_reasons,sources,urls,date_posted,deadline,first_seen,last_seen,status,applied_date,notes
8f56d4778660cf6c42,Software Engineer,,,IT + MYYNTI,62,"+15 yhdistää IT:n ja kaupallisen taustan ; +32 sopiva työnimike (software engineer) ; +23 teknologiat: java, sql, react, javascript, typescript, html ; +5 kokemusosumat: b2b ; +8 koulutustausta sopii ; +4 kielivaatimukset sopivat ; -25 ilmoituksessa senior/lead-tason merkkejä",LinkedIn,https://fi.linkedin.com/jobs/view/4457751978,,,2026-09-06,2026-09-10,UUSI,,
96a4a5d465528c6e1d,Account Manager,,,IT + MYYNTI,58,"+15 yhdistää IT:n ja kaupallisen taustan ; +32 sopiva työnimike (account manager) ; +7 kokemusosumat: ratkaisumyy, customer success ; +4 kielivaatimukset sopivat",LinkedIn,https://fi.linkedin.com/jobs/view/4453725118,,,2026-09-06,2026-09-07,UUSI,,
852c94cb4e84d5199d,Software Engineering Consultant (2025-2026 Graduate),,,IT,57,+10 sopii IT-koulutukseen ; +32 sopiva työnimike (software engineer) ; +15 junior/trainee/graduate-taso,LinkedIn,https://fi.linkedin.com/jobs/view/4449551135,,,2026-09-06,2026-09-11,UUSI,,
0371be829aacf696a5,"Software Engineer, AI enabled development",,,IT,57,"+10 sopii IT-koulutukseen ; +32 sopiva työnimike (software engineer) ; +15 junior/trainee/graduate-taso ; +17 teknologiat: java, sql, c#, react, typescript ; +4 kokemusosumat: it-palvel ; +4 kielivaatimukset sopivat ; -25 ilmoituksessa senior/lead-tason merkkejä",LinkedIn,https://fi.linkedin.com/jobs/view/4445898474,,,2026-09-06,2026-09-11,UUSI,,
68e1d285b59b3a5bf7,Solution Advisor Associate- SAP Academy for Customer Success - Finland (Hybrid),,,MYYNTI,56,+10 sopii kaupalliseen kokemukseen ; +28 sopiva työnimike (customer success) ; +15 junior/trainee/graduate-taso ; +3 kokemusosumat: customer success,LinkedIn,https://fi.linkedin.com/jobs/view/4457491815,,,2026-09-06,2026-09-11,UUSI,,
6131c47507702e59fb,Junior Software QA Engineer,,,IT,55,+10 sopii IT-koulutukseen ; +30 sopiva työnimike (qa engineer) ; +15 junior/trainee/graduate-taso,LinkedIn,https://fi.linkedin.com/jobs/view/4464525586,,,2026-09-10,2026-09-11,UUSI,,
3200428c05466a3280,Entry level Technical Sales Specialist Storage IBM Finland (incl. Assignment in Valencia),,,MYYNTI,55,+10 sopii kaupalliseen kokemukseen ; +30 sopiva työnimike (technical sales) ; +15 junior/trainee/graduate-taso,LinkedIn,https://fi.linkedin.com/jobs/view/4440147847,,,2026-09-06,2026-09-11,UUSI,,
315f7467aa8466b4af,"Software Engineer, Security",,,IT,51,"+10 sopii IT-koulutukseen ; +32 sopiva työnimike (software engineer) ; +15 junior/trainee/graduate-taso ; +12 teknologiat: java, python, typescript ; +3 kokemusosumat: ict ; +4 kielivaatimukset sopivat ; -25 ilmoituksessa senior/lead-tason merkkejä",LinkedIn,https://fi.linkedin.com/jobs/view/4460977911,,,2026-09-06,2026-09-11,UUSI,,
09aae07ed13913a333,Named Account Executive,,,IT + MYYNTI,47,+15 yhdistää IT:n ja kaupallisen taustan ; +32 sopiva työnimike (account executive),LinkedIn,https://fi.linkedin.com/jobs/view/4450693414,,,2026-09-06,2026-09-11,UUSI,,
c294142b2f21e85d01,Account Manager - SMB,,,IT + MYYNTI,47,+15 yhdistää IT:n ja kaupallisen taustan ; +32 sopiva työnimike (account manager),LinkedIn,https://fi.linkedin.com/jobs/view/4463872377,,,2026-09-09,2026-09-11,UUSI,,
728121f2b5ccebb82c,Account Executive,,,IT + MYYNTI,47,+15 yhdistää IT:n ja kaupallisen taustan ; +32 sopiva työnimike (account executive),LinkedIn,https://fi.linkedin.com/jobs/view/4461989419,,,2026-09-06,2026-09-11,UUSI,,
d1f740e9338027586f,Marketing Cloud Account Executive - Finland,,,IT + MYYNTI,47,+15 yhdistää IT:n ja kaupallisen taustan ; +32 sopiva työnimike (account executive),LinkedIn,https://fi.linkedin.com/jobs/view/4424704958,,,2026-09-06,2026-09-11,UUSI,,
162ef405904d7b9f8f,"Key Account Manager, B2B",,,MYYNTI,47,+10 sopii kaupalliseen kokemukseen ; +32 sopiva työnimike (account manager) ; +5 kokemusosumat: b2b,LinkedIn,https://fi.linkedin.com/jobs/view/4463479589,,,2026-09-10,2026-09-11,UUSI,,
eec57731d6e663efaf,Mid Market Account Executive - Finland,,,IT + MYYNTI,47,+15 yhdistää IT:n ja kaupallisen taustan ; +32 sopiva työnimike (account executive),LinkedIn,https://fi.linkedin.com/jobs/view/4464492692,,,2026-09-08,2026-09-09,UUSI,,
d0a1f48b0487fe6f95,Account Manager (Finnish speaking),,,MYYNTI,46,+10 sopii kaupalliseen kokemukseen ; +32 sopiva työnimike (account manager) ; +4 kielivaatimukset sopivat,LinkedIn,https://fi.linkedin.com/jobs/view/4461690074,,,2026-09-06,2026-09-11,UUSI,,
f72a5427c65588c6b7,Key Account Manager,,,MYYNTI,46,+10 sopii kaupalliseen kokemukseen ; +32 sopiva työnimike (account manager) ; +4 kielivaatimukset sopivat,LinkedIn,https://fi.linkedin.com/jobs/view/4461163243,,,2026-09-06,2026-09-11,UUSI,,
02099522f2e3dde9cd,Enterprise Account Executive,,,IT + MYYNTI,46,"+15 yhdistää IT:n ja kaupallisen taustan ; +32 sopiva työnimike (account executive) ; +12 kokemusosumat: b2b, solution sales, customer success ; +8 koulutustausta sopii ; +4 kielivaatimukset sopivat ; -25 ilmoituksessa senior/lead-tason merkkejä",LinkedIn,https://fi.linkedin.com/jobs/view/4456732931,,,2026-09-06,2026-09-09,UUSI,,
314d4a2e0285768c28,Sales Development Representative (B2B),,,MYYNTI,45,+10 sopii kaupalliseen kokemukseen ; +30 sopiva työnimike (sales development) ; +5 kokemusosumat: b2b,LinkedIn,https://fi.linkedin.com/jobs/view/4457983844,,,2026-09-06,2026-09-11,UUSI,,
bb064e1b4eba2cd9ad,B2B Sales Development Representative – SaaS | Finland,,,MYYNTI,45,+10 sopii kaupalliseen kokemukseen ; +30 sopiva työnimike (sales development) ; +5 kokemusosumat: b2b,LinkedIn,https://fi.linkedin.com/jobs/view/4443897266,,,2026-09-06,2026-09-11,UUSI,,
eccd3373bf5f659b47,Customer Success Executive (Finnish-speaking),,,MYYNTI,45,+10 sopii kaupalliseen kokemukseen ; +28 sopiva työnimike (customer success) ; +3 kokemusosumat: customer success ; +4 kielivaatimukset sopivat,LinkedIn,https://fi.linkedin.com/jobs/view/4440973882,,,2026-09-06,2026-09-11,UUSI,,
6d578c6729f736685d,"Fullstack Software Engineer, Kafka",,,IT,45,"+10 sopii IT-koulutukseen ; +32 sopiva työnimike (software engineer) ; +16 teknologiat: java, python, react, typescript ; +8 koulutustausta sopii ; +4 kielivaatimukset sopivat ; -25 ilmoituksessa senior/lead-tason merkkejä",LinkedIn,https://fi.linkedin.com/jobs/view/4458876988,,,2026-09-06,2026-09-11,UUSI,,
f9490fb7404f713fa8,Business Development Manager - Hybrid Cloud & Datacenter,,,IT + MYYNTI,45,+15 yhdistää IT:n ja kaupallisen taustan ; +30 sopiva työnimike (business development),LinkedIn,https://fi.linkedin.com/jobs/view/4460416028,,,2026-09-06,2026-09-11,UUSI,,
f913975883dff91181,Asiakkuuspäällikkö (Key Account Manager),,,MYYNTI,45,+10 sopii kaupalliseen kokemukseen ; +32 sopiva työnimike (account manager) ; +3 kokemusosumat: asiakkuus,LinkedIn,https://fi.linkedin.com/jobs/view/4463032940,,,2026-09-09,2026-09-11,UUSI,,
671de2a0c288c3a3ad,Business Development Rep (AI Cloud),,,IT + MYYNTI,45,+15 yhdistää IT:n ja kaupallisen taustan ; +30 sopiva työnimike (business development),LinkedIn,https://fi.linkedin.com/jobs/view/4415378394,,,2026-09-06,2026-09-11,UUSI,,
a27de381fc2c283006,"B2B Sales Development Representative – SaaS | Vantaa, Finland",,,MYYNTI,45,+10 sopii kaupalliseen kokemukseen ; +30 sopiva työnimike (sales development) ; +5 kokemusosumat: b2b,LinkedIn,https://fi.linkedin.com/jobs/view/4457224881,,,2026-09-06,2026-09-09,UUSI,,
9b99b340ecfa9c870c,Business Development Manager (Helsinki),,,IT + MYYNTI,45,"+15 yhdistää IT:n ja kaupallisen taustan ; +30 sopiva työnimike (business development) ; +13 kokemusosumat: b2b, prospecting, crm ; +8 koulutustausta sopii ; +4 kielivaatimukset sopivat ; -25 ilmoituksessa senior/lead-tason merkkejä",LinkedIn,https://fi.linkedin.com/jobs/view/4463890153,,,2026-09-09,2026-09-09,UUSI,,
b4d7f73750b91f1417,Software Developer,,,IT,44,+10 sopii IT-koulutukseen ; +34 sopiva työnimike (software developer),LinkedIn,https://fi.linkedin.com/jobs/view/4186431761,,,2026-09-06,2026-09-11,UUSI,,
99e12136c24c0fcd07,Software Developer,,,IT,44,+10 sopii IT-koulutukseen ; +34 sopiva työnimike (software developer),LinkedIn,https://fi.linkedin.com/jobs/view/4458888909,,,2026-09-06,2026-09-11,UUSI,,
6781f72821e7894498,"Embedded Software Developer, Safety-Critical Systems",,,IT,44,+10 sopii IT-koulutukseen ; +34 sopiva työnimike (software developer),LinkedIn,https://fi.linkedin.com/jobs/view/4456324085,,,2026-09-06,2026-09-11,UUSI,,
